06/10/15 12:06:43:148 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | No Record found for the input fields in opm_getValueForKey
06/10/15 12:06:43:148 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | Released OPM refrence successfully in opm_freeLibRef
06/10/15 12:06:43:154 | [INFO] |  | ASU | OPM | P7Native |  |  | 1852 | Performing openIMSLibSessionWithXMLParams...
06/10/15 12:06:43:154 | [INFO] |  | ASU | OPM | P7Native |  |  | 1852 | pwa_openIMSLibSessionWithXMLParams Session key : AACD9DA7-167D-4020-89ED-0FF9DFC7846E
06/10/15 12:06:43:182 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 1852 | Build Version - 8.0.0.17
06/10/15 12:06:43:182 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 1852 | Logging Level verbosity Set  to 4
06/10/15 12:06:43:183 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 1852 | Creating IMSLib instance WithXMLParams ...
06/10/15 12:06:43:183 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 1852 | Failed to retreive locale from the input xml in IMS_createRefExWithXMLParams
06/10/15 12:06:43:184 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | Build Version - 8.0.0.17
06/10/15 12:06:43:184 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | Logging Level verbosity Set  to 4
06/10/15 12:06:43:191 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | Schema version and schema compatibility version are same or greater than current

06/10/15 12:06:43:193 | [INFO] |  | ASU | OPM | IMSLibHelper |  |  | 1852 | OPMWrapper allocation succeeded
06/10/15 12:06:43:193 | [INFO] |  | ASU | OPM | IMSLib |  |  | 1852 | This product version is for GM
06/10/15 12:06:43:194 | [INFO] |  | ASU | OPM | IMSLib |  |  | 1852 | URL retreived from dispatchlib https://ims-prod06.adobelogin.com
06/10/15 12:06:43:194 | [INFO] |  | ASU | OPM | IMSLib |  |  | 1852 | Created IMSLib instance with endpoint:https://ims-prod06.adobelogin.com in IMS_createRefExWithXMLParams
06/10/15 12:06:43:195 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
06/10/15 12:06:43:195 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | No Record found for the input fields in opm_getValueForKey
06/10/15 12:06:43:195 | [INFO] |  | ASU | OPM | IMSLib_OPMWrapper |  |  | 1852 | Failed in getting value for key in OPMGetValueForKey domain:OOBE subDomain:ProxyCredentials key:ProxyUsername
06/10/15 12:06:43:195 | [INFO] |  | ASU | OPM | IMSLibHelper |  |  | 1852 | Failed to get proxy user name from local db in getProxyCredentialsFromLocalStore
06/10/15 12:06:43:195 | [INFO] |  | ASU | OPM | IMSLib |  |  | 1852 | Failed to get proxy credentials from local store in IMS_createRefExWithXMLParams
06/10/15 12:06:43:197 | [INFO] |  | ASU | OPM | P7Native |  |  | 1852 | Performing registeration of client to group
06/10/15 12:06:43:198 | [INFO] |  | ASU | OPM | IMSLib |  |  | 1852 | Performing IMS_registerClientToGroup..
06/10/15 12:06:43:198 | [INFO] |  | ASU | OPM | OPM |  |  | 1852 | Performing opm_getRecords...
