06/12/15 13:40:29:559 | [INFO] |  |  |  | OOBELib |  |  | 2123 | Closing AdobeIALClient 1.0 Release (build 1.0.6.3) session.
06/12/15 13:40:29:559 | [INFO] |  |  |  | OOBELib |  |  | 2123 | *************OOBELib Session Ends*************
06/12/15 13:40:29:740 | [INFO] |  |  |  | DispatchClientLib |  |  | 2123 | Dispatch table Not found parallel to binary, looking into P7 folder
06/12/15 13:40:29:740 | [INFO] |  |  |  | DispatchClientLib |  |  | 2123 | Dispatch table file doesnot in parallel to binary or inside the binary, falling back to ACF path.
06/12/15 13:40:29:740 | [INFO] |  |  |  | DispatchClientLib |  |  | 2123 | Dispatch table loaded from path: /Library/Application Support/Adobe/OOBE/PDApp/P7/dispatchtable.xml 
06/12/15 13:40:29:740 | [INFO] |  |  |  | DispatchClientLib |  |  | 2123 | (re)load Local Dispatch Table status-[0].
06/12/15 13:40:29:741 | [INFO] |  |  |  | DispatchClientLib |  |  | 2123 | Scope : [2]
06/12/15 13:40:29:741 | [INFO] |  |  |  | DispatchClientLib |  |  | 2123 | Setting scope to GM
06/12/15 13:40:29:741 | [INFO] |  |  |  | DispatchClientLib |  |  | 2123 | EndPoint requested: [IdentityManagement]
06/12/15 13:40:29:741 | [INFO] |  |  |  | DispatchClientLib |  |  | 2123 | Length of the URL: [33]
06/12/15 13:40:29:741 | [INFO] |  |  |  | DispatchClientLib |  |  | 2123 | Returning from getEndpointAddr: [0]
06/12/15 13:40:29:741 | [INFO] |  |  |  | DispatchClientLib |  |  | 2123 | EndPoint requested: [IdentityManagement]
06/12/15 13:40:29:741 | [INFO] |  |  |  | DispatchClientLib |  |  | 2123 | Length of the URL: [33]
06/12/15 13:40:29:741 | [INFO] |  |  |  | DispatchClientLib |  |  | 2123 | URL found [https://ims-prod06.adobelogin.com]
06/12/15 13:40:29:741 | [INFO] |  |  |  | DispatchClientLib |  |  | 2123 | Returning from getEndpointAddr: [0]
